time,CH1,CH2,REF1,REF2
   0.000135,   1.040000,   0.800000,   1.840000,   1.400000
   0.000135,   1.040000,   1.000000,   1.840000,   1.400000
   0.000135,   1.040000,   1.000000,   1.840000,   1.400000
   0.000136,   1.040000,   1.000000,   1.760000,   1.400000
   0.000136,   1.040000,   1.000000,   1.760000,   1.400000
   0.000136,   0.960000,   1.000000,   1.760000,   1.400000
   0.000136,   0.960000,   1.000000,   1.680000,   1.400000
   0.000137,   0.960000,   1.000000,   1.680000,   1.600000
   0.000137,   0.960000,   1.000000,   1.680000,   1.600000
   0.000137,   0.960000,   1.000000,   1.600000,   1.600000
   0.000137,   0.880000,   1.000000,   1.600000,   1.600000
   0.000138,   0.880000,   1.000000,   1.520000,   1.600000
   0.000138,   0.880000,   1.200000,   1.520000,   1.600000
   0.000138,   0.800000,   1.200000,   1.440000,   1.600000
   0.000139,   0.800000,   1.200000,   1.440000,   1.600000
   0.000139,   0.800000,   1.200000,   1.440000,   1.800000
